410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,pH
568,183.0,1341.0,1257.0,1434.0,177.0,95.0,267.0,52.0,111.0,109.0,900.0,94.0,254.0,323.0,391.0,631.0,233.0,7.6
543,169.0,1291.0,1202.0,1379.0,166.0,89.0,251.0,52.0,110.0,105.0,887.0,90.0,244.0,309.0,373.0,600.0,223.0,7.7
569,185.0,1345.0,1260.0,1435.0,176.0,94.0,265.0,53.0,110.0,110.0,904.0,96.0,255.0,325.0,392.0,633.0,234.0,7.8
543,188.0,1286.0,1209.0,1381.0,179.0,90.0,256.0,49.0,102.0,104.0,862.0,93.0,244.0,312.0,375.0,612.0,230.0,7.9
567,186.0,1341.0,1258.0,1436.0,178.0,94.0,266.0,52.0,110.0,108.0,899.0,95.0,254.0,323.0,390.0,629.0,234.0,8.0
543,168.0,1288.0,1199.0,1382.0,165.0,92.0,251.0,52.0,107.0,105.0,880.0,91.0,245.0,311.0,374.0,619.0,219.0,8.1
566,183.0,1339.0,1256.0,1434.0,176.0,95.0,266.0,53.0,111.0,109.0,900.0,95.0,255.0,324.0,391.0,632.0,231.0,8.2
567,185.0,1340.0,1258.0,1435.0,178.0,95.0,265.0,52.0,110.0,109.0,900.0,95.0,254.0,324.0,390.0,632.0,231.0,8.3
568,182.0,1342.0,1257.0,1433.0,176.0,95.0,267.0,53.0,111.0,109.0,899.0,95.0,254.0,324.0,390.0,632.0,233.0,8.4
563,179.0,1335.0,1251.0,1426.0,173.0,94.0,265.0,53.0,111.0,109.0,898.0,95.0,253.0,322.0,387.0,629.0,234.0,8.5
564,181.0,1333.0,1248.0,1426.0,175.0,95.0,266.0,53.0,111.0,108.0,895.0,94.0,253.0,321.0,387.0,631.0,233.0,8.6
561,181.0,1327.0,1245.0,1425.0,176.0,95.0,263.0,52.0,110.0,107.0,883.0,93.0,251.0,319.0,385.0,625.0,231.0,8.7
534,168.0,1274.0,1195.0,1370.0,166.0,90.0,254.0,51.0,107.0,103.0,855.0,89.0,240.0,304.0,367.0,606.0,224.0,8.8
535,170.0,1267.0,1179.0,1363.0,167.0,90.0,238.0,51.0,107.0,104.0,884.0,91.0,241.0,306.0,370.0,595.0,217.0,8.9
533,171.0,1281.0,1205.0,1370.0,168.0,90.0,250.0,51.0,107.0,104.0,823.0,91.0,242.0,305.0,369.0,617.0,226.0,9.0
540,171.0,1296.0,1221.0,1378.0,166.0,88.0,254.0,52.0,111.0,105.0,850.0,92.0,243.0,309.0,373.0,601.0,227.0,9.1
557,185.0,1305.0,1240.0,1388.0,173.0,84.0,261.0,56.0,109.0,113.0,892.0,101.0,258.0,333.0,399.0,612.0,235.0,5.1
553,177.0,1327.0,1255.0,1431.0,168.0,88.0,258.0,56.0,106.0,114.0,895.0,101.0,261.0,332.0,397.0,619.0,236.0,5.0
563,182.0,1346.0,1259.0,1411.0,169.0,86.0,254.0,56.0,112.0,114.0,906.0,102.0,259.0,331.0,400.0,626.0,235.0,4.9
545,177.0,1311.0,1201.0,1361.0,164.0,85.0,247.0,56.0,109.0,111.0,837.0,99.0,252.0,322.0,390.0,619.0,226.0,4.8
547,176.0,1326.0,1179.0,1378.0,162.0,83.0,235.0,55.0,107.0,111.0,884.0,99.0,251.0,327.0,388.0,617.0,230.0,4.7
525,172.0,1267.0,1165.0,1316.0,160.0,81.0,236.0,54.0,104.0,107.0,808.0,96.0,241.0,308.0,374.0,601.0,219.0,4.5
555,173.0,1325.0,1236.0,1400.0,160.0,85.0,251.0,56.0,108.0,108.0,883.0,100.0,243.0,319.0,366.0,623.0,229.0,4.4
552,165.0,1317.0,1229.0,1391.0,155.0,84.0,250.0,56.0,111.0,108.0,877.0,101.0,243.0,314.0,360.0,622.0,230.0,4.3
552,172.0,1319.0,1228.0,1390.0,160.0,84.0,247.0,56.0,108.0,107.0,877.0,100.0,243.0,314.0,364.0,621.0,231.0,4.2
535,176.0,1283.0,1204.0,1366.0,162.0,83.0,245.0,53.0,104.0,104.0,863.0,98.0,241.0,302.0,359.0,610.0,225.0,4.1
527,165.0,1267.0,1184.0,1345.0,155.0,81.0,243.0,53.0,103.0,103.0,841.0,96.0,231.0,302.0,344.0,600.0,221.0,4.0
537,169.0,1291.0,1204.0,1364.0,157.0,82.0,245.0,54.0,104.0,105.0,858.0,98.0,236.0,307.0,355.0,610.0,225.0,3.9
528,166.0,1265.0,1181.0,1344.0,155.0,80.0,237.0,54.0,103.0,103.0,842.0,97.0,233.0,299.0,353.0,602.0,222.0,3.8
533,176.0,1279.0,1195.0,1359.0,162.0,83.0,244.0,53.0,101.0,103.0,854.0,98.0,237.0,300.0,351.0,606.0,223.0,3.7
535,169.0,1274.0,1200.0,1364.0,159.0,85.0,249.0,54.0,105.0,105.0,848.0,100.0,234.0,305.0,349.0,606.0,224.0,3.6
522,163.0,1254.0,1177.0,1337.0,154.0,82.0,243.0,54.0,103.0,102.0,840.0,99.0,231.0,296.0,347.0,595.0,222.0,3.5
526,164.0,1262.0,1179.0,1345.0,155.0,83.0,246.0,54.0,104.0,103.0,844.0,96.0,235.0,300.0,347.0,600.0,223.0,3.4
545,169.0,1302.0,1215.0,1380.0,158.0,85.0,252.0,55.0,108.0,107.0,873.0,100.0,241.0,309.0,365.0,617.0,230.0,3.3
543,170.0,1299.0,1213.0,1380.0,160.0,87.0,255.0,56.0,107.0,106.0,869.0,99.0,244.0,309.0,363.0,616.0,229.0,3.2
