410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,pH
547,175.0,1295.0,1210.0,1381.0,174.0,103.0,275.0,52.0,116.0,107.0,893.0,91.0,251.0,322.0,386.0,625.0,234.0,5.49
654,557.0,1560.0,1522.0,1734.0,569.0,101.0,202.0,27.0,67.0,97.0,1187.0,114.0,260.0,400.0,475.0,812.0,217.0,5.5
566,181.0,1327.0,1254.0,1435.0,180.0,97.0,266.0,53.0,111.0,103.0,887.0,95.0,255.0,310.0,390.0,627.0,232.0,5.5
605,213.0,1439.0,1353.0,1541.0,202.0,92.0,250.0,52.0,106.0,112.0,912.0,102.0,258.0,330.0,396.0,643.0,237.0,5.5
538,190.0,1271.0,1194.0,1363.0,179.0,92.0,256.0,52.0,105.0,111.0,876.0,98.0,259.0,328.0,392.0,620.0,231.0,5.55
544,179.0,1282.0,1201.0,1382.0,176.0,102.0,273.0,53.0,113.0,111.0,893.0,95.0,263.0,333.0,397.0,630.0,234.0,5.55
546,175.0,1288.0,1212.0,1387.0,169.0,96.0,270.0,54.0,114.0,113.0,886.0,95.0,264.0,335.0,400.0,624.0,235.0,5.56
650,558.0,1577.0,1546.0,1759.0,588.0,102.0,201.0,28.0,67.0,98.0,1186.0,115.0,263.0,399.0,477.0,806.0,215.0,5.6
565,179.0,1336.0,1250.0,1432.0,179.0,96.0,263.0,53.0,110.0,109.0,885.0,93.0,254.0,318.0,384.0,620.0,229.0,5.6
546,188.0,1296.0,1207.0,1378.0,174.0,90.0,258.0,51.0,107.0,107.0,878.0,96.0,246.0,315.0,380.0,624.0,232.0,5.6
605,233.0,1427.0,1350.0,1537.0,221.0,97.0,254.0,50.0,101.0,109.0,923.0,101.0,256.0,330.0,398.0,664.0,235.0,5.6
536,190.0,1270.0,1190.0,1368.0,179.0,93.0,257.0,52.0,105.0,110.0,877.0,97.0,260.0,327.0,394.0,621.0,231.0,5.65
537,172.0,1267.0,1187.0,1364.0,167.0,94.0,265.0,54.0,113.0,112.0,878.0,95.0,261.0,330.0,393.0,623.0,231.0,5.65
552,177.0,1303.0,1221.0,1398.0,176.0,105.0,277.0,52.0,116.0,108.0,902.0,92.0,254.0,325.0,390.0,633.0,237.0,5.66
545,178.0,1282.0,1201.0,1380.0,175.0,101.0,272.0,53.0,113.0,111.0,893.0,95.0,262.0,332.0,397.0,631.0,234.0,5.68
545,177.0,1290.0,1195.0,1387.0,174.0,97.0,266.0,51.0,111.0,106.0,872.0,92.0,246.0,314.0,376.0,622.0,230.0,5.69
535,180.0,1253.0,1195.0,1344.0,173.0,90.0,251.0,50.0,105.0,104.0,847.0,89.0,232.0,310.0,371.0,605.0,224.0,5.7
645,530.0,1566.0,1506.0,1725.0,569.0,102.0,199.0,28.0,67.0,100.0,1188.0,113.0,266.0,402.0,473.0,807.0,220.0,5.7
605,171.0,1382.0,1317.0,1535.0,194.0,119.0,294.0,50.0,130.0,99.0,980.0,77.0,242.0,302.0,361.0,677.0,252.0,5.7
537,187.0,1271.0,1192.0,1363.0,175.0,91.0,258.0,53.0,106.0,111.0,874.0,98.0,259.0,328.0,392.0,621.0,231.0,5.71
546,168.0,1285.0,1211.0,1388.0,164.0,97.0,272.0,56.0,118.0,114.0,888.0,95.0,266.0,337.0,402.0,624.0,236.0,5.72
540,174.0,1269.0,1189.0,1368.0,169.0,95.0,265.0,54.0,112.0,112.0,883.0,96.0,262.0,330.0,395.0,625.0,233.0,5.73
546,185.0,1297.0,1212.0,1379.0,171.0,92.0,261.0,52.0,109.0,109.0,884.0,97.0,252.0,320.0,384.0,625.0,233.0,5.73
545,179.0,1294.0,1210.0,1386.0,178.0,104.0,275.0,51.0,115.0,106.0,890.0,91.0,249.0,320.0,384.0,627.0,233.0,5.75
547,173.0,1295.0,1211.0,1362.0,165.0,96.0,274.0,56.0,116.0,115.0,901.0,100.0,266.0,335.0,404.0,637.0,236.0,5.77
